Square Size,Algorithm,Total Path Distance,Total Energy Cost,Total Traversal Time
65,A*,124.99355043997944,684491.1731348219,45.55562253789029
65,Energy Cost A*,124.99355043997944,684491.1731348219,45.55562253789029
66,A*,122.52536650131441,717335.371874095,47.45709633653324
66,Energy Cost A*,122.52536650131441,717335.371874095,47.45709633653324
67,A*,126.40805740918655,764652.3382395017,49.80268725731167
67,Energy Cost A*,126.40805740918655,764652.3382395017,49.80268725731167
68,A*,128.3162885123284,750487.2458213471,50.45464851031564
68,Energy Cost A*,128.3162885123284,750487.2458213471,50.45464851031564
69,A*,132.54437554176408,796870.9506281941,54.37994856158412
69,Energy Cost A*,132.54437554176408,796870.9506281941,54.37994856158412
70,A*,133.27124526329754,808921.0158813441,52.87522305648546
70,Energy Cost A*,133.27124526329754,808921.0158813441,52.87522305648546
